Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,061371","0,0041464","3,6399E-07",0,0,0,"0,13409","0,00018118","-5,6666E-06","-1,0882E-10","0,00026696","-5,2652E-10","0,00022741",0,0,0,0,0,0,package://herramienta_terminal/meshes/base_link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://herramienta_terminal/meshes/base_link.STL,,muñequera_rigida.stp-2;HT_Socket y tuerquita_2_socket_finalmodificado.stp-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
esfera_Link,"-8,9546E-12","-3,1684E-09","-0,00034394",0,0,0,"0,0028424","9,287E-08","-2,0463E-17","1,3833E-16","9,2869E-08","6,1244E-14","9,8145E-08",0,0,0,0,0,0,package://herramienta_terminal/meshes/esfera_Link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://herramienta_terminal/meshes/esfera_Link.STL,,Esfera_3.stp-3,Origin_esfera_Joint,Axis_esfera_Joint,esfera_Joint,continuous,"0,0515463172434223",0,"0,054914971458553",0,"-0,0655531155814387",0,base_link,0,1,0,,,,,,,,,,,,
herramienta_Link,"-0,034707","0,041986","-1,3795E-14",0,0,0,"0,055831","1,7249E-05","-4,958E-08","1,6149E-20","1,8328E-05","-4,1307E-19","1,7072E-05",0,0,0,0,0,0,package://herramienta_terminal/meshes/herramienta_Link.STL,"0,50196","0,50196","0,50196",1,0,0,0,0,0,0,package://herramienta_terminal/meshes/herramienta_Link.STL,,HT_ER.stp-2,Origin_herramienta_Joint,Axis_herramienta_Joint,herramienta_Joint,continuous,"0,0348336394734481",0,0,"1,5707963267949",0,0,esfera_Link,1,0,0,,,,,,,,,,,,
