Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,0002987",0,"0,20019",0,0,0,"21,148","0,31372","-6,6938E-18","-0,00075664","0,49862","-5,7126E-10","0,26189",0,0,0,0,0,0,package://humanV2/meshes/base_link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://humanV2/meshes/base_link.STL,,Tronco1.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Shoulder_Link,"0,028934","-3,3332E-07","4,0773E-07",0,0,0,"0,039246","2,5628E-05","4,8361E-10","-6,0372E-10","3,3171E-05","-1,2792E-09","2,6396E-05",0,0,0,0,0,0,package://humanV2/meshes/Shoulder_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://humanV2/meshes/Shoulder_Link.STL,,cardan1-2,Origin_shoulder_Joint,Eje1 <cardan1-2>,shoulder_Joint,continuous,"0,18",0,"0,32",0,0,0,base_link,1,0,0,,,,,,,,,,,,
Arm_Link,"0,001504","-0,21367","2,1137E-05",0,0,0,"2,065","0,015833","0,00012729","-2,4985E-07","0,0021521","1,4532E-06","0,015925",0,0,0,0,0,0,package://humanV2/meshes/Arm_Link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://humanV2/meshes/Arm_Link.STL,,cardanCube-1;cardan1-3;brazo_hombre.stp-2,Origin_Arm_Joint,Axis_Arm_Joint,Arm_Joint,continuous,"0,07",0,0,0,0,0,Shoulder_Link,0,"7,9554E-05",1,,,,,,,,,,,,
Forearm_Link,"0,043007","-0,087026","0,00061887",0,0,0,"1,0081","0,0075453","-8,0779E-05","5,269E-07","0,00059467","3,9526E-05","0,0075218",0,0,0,0,0,0,package://humanV2/meshes/Forearm_Link.STL,"0,74902","0,74902","0,74902",1,0,0,0,0,0,0,package://humanV2/meshes/Forearm_Link.STL,,antebrazo_hombre.stp-2,Origin_Forearm_Joint,Axis_Forearm_Joint,Forearm_Joint,continuous,"0,043395","-0,322","0,00014624",0,0,0,Arm_Link,-1,"2,0809E-05","-0,0027793",,,,,,,,,,,,
