Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,147380279946403","4,09803356324946E-18","-0,183688926406411",0,0,0,"21,1782903595475","0,314167968794279","-1,57515840667926E-17","-0,00152092128911395","0,500403583328166","-1,31389883452136E-09","0,26323408507304",0,0,0,0,0,0,package://humanURDF/meshes/base_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://humanURDF/meshes/base_link.STL,,Tronco.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
brazo_link,"0,0501986538571646","-0,0977300384950257","0,00176645149512299",0,0,0,"1,97753622371589","0,0157981761158755","-2,6966120279389E-05","-1,59507260844094E-06","0,00211316900882633","0,000112507197754403","0,0158808780480386",0,0,0,0,0,0,package://humanURDF/meshes/brazo_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://humanURDF/meshes/brazo_link.STL,,brazo_hombre.stp-1,Origin_brazo_joint,Axis_brazo_joint,brazo_joint,continuous,"0,049284658059624",0,"-0,0640498975439988",0,0,0,base_link,-1,0,0,,,,,,,,,,,,
antebrazo_link,"0,0436519728379535","-0,0874871117981463","-0,00130930871816355",0,0,0,"1,00812958445801","0,00754277884263541","-0,000153723622133985","-3,53540231519263E-06","0,000601748852949274","-0,0001831113070396","0,00751716655766249",0,0,0,0,0,0,package://humanURDF/meshes/antebrazo_link.STL,"0,749019607843137","0,749019607843137","0,749019607843137",1,0,0,0,0,0,0,package://humanURDF/meshes/antebrazo_link.STL,,antebrazo_hombre.stp-1,Origin_antebrazo_joint,Axis_antebrazo_joint,antebrazo_joint,continuous,"0,0893153894032891","-0,197868013214099","0,00343687354219388",0,0,0,brazo_link,"-0,999701434390246","0,011113823153","-0,0217606298854042",,,,,,,,,,,,
